Strain,Growth Condition,OD in LB ,4:00,4:30,5:00,5:40,6:10,6:50,7:20
MG1655,Shaker 5ml,>2,0.09,0.09,0.11,0.12,0.15,0.24,0.32
MG1655,Shaker 3ml,>2,0.07,0.16,0.09,0.13,0.14,0.27,0.34
MG1655,37C Incubator,0.94,0.42,0.52,0.62,,1.04,1.25,1.43
MG1655,Bench,0.04,0.25,0.30,0.41,,0.67,0.81,0.99
3.19,Shaker 5ml,>2,0.05,0.07,0.12,0.14,0.2,0.48,0.43
3.19,Shaker 3ml,>2,0.1,0.08,0.1,0.13,0.19,0.32,0.39
3.19,37C Incubator,0.98,0.48,0.57,0.72,0.9,1.14,1.3,1.39
3.19,Bench,0.12,0.29,0.37,0.45,0.64,0.7,0.86,1.04
IW,Shaker 5ml,>2,0.07,0.09,0.12,0.15,0.27,0.45,0.55
IW,Shaker 3ml,>2,0.06,0.1,0.13,0.2,0.31,0.45,0.59
IW,37C Incubator,1.0,0.39,0.44,0.6,0.82,1.13,1.27,1.31
IW,Bench,0.04,0.27,0.39,0.45,0.64,0.78,0.99,1.16
WT,Shaker 5ml,>2,0.13,0.09,0.15,0.16,0.21,0.35,0.46
WT,Shaker 3ml,>2,0.09,0.09,0.12,0.13,0.25,0.29,0.4
WT,37C Incubator,0.9,0.4,0.46,0.6,0.76,0.99,1.13,1.27
WT,Bench,0.05,0.21,0.28,0.4,0.51,0.71,0.77,1.02
UV5,Shaker 5ml,>2,0.05,0.05,0.15,0.13,0.21,0.33,0.44
UV5,Shaker 3ml,>2,0.17,0.19,0.27,0.43,0.59,0.75,0.89
UV5,37C Incubator,1.05,0.4,0.47,0.69,0.87,1.05,1.17,1.26
UV5,Bench,0.3,0.36,0.42,0.6,0.66,0.78,0.92,1.08
